Date,NIFTY_50,ALKEM
2023-06-16,3307.07080078125,18826.0
2023-06-19,3310.62255859375,18755.44921875
2023-06-20,3292.427734375,18816.69921875
2023-06-21,3298.265625,18856.849609375
2023-06-22,3258.860595703125,18771.25
2023-06-23,3259.3955078125,18665.5
2023-06-26,3309.5517578125,18691.19921875
2023-06-27,3303.665771484375,18817.400390625
2023-06-28,3352.994873046875,18972.099609375
2023-06-30,3417.892333984375,19189.05078125
2023-07-03,3399.4541015625,19322.55078125
2023-07-04,3400.329833984375,19389.0
2023-07-05,3417.308349609375,19398.5
2023-07-06,3428.01123046875,19497.30078125
2023-07-07,3396.389892578125,19331.80078125
2023-07-10,3393.373291015625,19355.900390625
2023-07-11,3419.06005859375,19439.400390625
2023-07-12,3433.60546875,19384.30078125
2023-07-13,3416.238037109375,19413.75
2023-07-14,3424.216552734375,19564.5
2023-07-17,3530.513427734375,19711.44921875
2023-07-18,3567.53466796875,19749.25
2023-07-19,3541.070068359375,19833.150390625
2023-07-20,3590.35107421875,19979.150390625
2023-07-21,3600.90771484375,19745.0
2023-07-24,3679.571533203125,19672.349609375
2023-07-25,3843.857666015625,19680.599609375
2023-07-26,3896.64111328125,19778.30078125
2023-07-27,3919.457275390625,19659.900390625
2023-07-28,3887.68994140625,19646.05078125
2023-07-31,3871.197998046875,19753.80078125
2023-08-01,3878.73828125,19733.55078125
2023-08-02,3829.1171875,19526.55078125
2023-08-03,3914.640869140625,19381.650390625
2023-08-04,3988.197509765625,19517.0
2023-08-07,4020.15966796875,19597.30078125
2023-08-08,4020.15966796875,19570.849609375
2023-08-09,4112.97998046875,19632.55078125
2023-08-10,4039.006103515625,19543.099609375
2023-08-11,3727.6005859375,19428.30078125
2023-08-14,3701.609375,19434.55078125
2023-08-16,3700.8779296875,19465.0
2023-08-17,3695.952880859375,19365.25
2023-08-18,3707.314697265625,19310.150390625
2023-08-21,3728.575927734375,19393.599609375
2023-08-22,3674.594482421875,19396.44921875
2023-08-23,3667.230712890625,19444.0
2023-08-24,3623.197265625,19386.69921875
2023-08-25,3586.819580078125,19265.80078125
2023-08-28,3620.612548828125,19306.05078125
2023-08-29,3610.6650390625,19342.650390625
2023-08-30,3602.521728515625,19347.44921875
2023-08-31,3552.782470703125,19253.80078125
2023-09-01,3525.377197265625,19435.30078125
2023-09-04,3560.389404296875,19528.80078125
2023-09-05,3555.9521484375,19574.900390625
2023-09-06,3564.729736328125,19611.05078125
2023-09-07,3547.1748046875,19727.05078125
2023-09-08,3531.716552734375,19819.94921875
2023-09-11,3540.25,19996.349609375
2023-09-12,3545.468017578125,19993.19921875
2023-09-13,3652.1630859375,20070.0
2023-09-14,3617.735595703125,20103.099609375
2023-09-15,3585.06396484375,20192.349609375
2023-09-18,3569.410888671875,20133.30078125
2023-09-20,3594.13427734375,19901.400390625
2023-09-21,3561.559814453125,19742.349609375
2023-09-22,3462.862060546875,19674.25
2023-09-25,3468.031005859375,19674.55078125
2023-09-26,3443.112548828125,19664.69921875
2023-09-27,3471.444091796875,19716.44921875
2023-09-28,3437.651123046875,19523.55078125
2023-09-29,3516.74609375,19638.30078125
2023-10-03,3485.196044921875,19528.75
2023-10-04,3390.0576171875,19436.099609375
2023-10-05,3372.014892578125,19545.75
2023-10-06,3435.407958984375,19653.5
2023-10-09,3463.739990234375,19512.349609375
2023-10-10,3497.09423828125,19689.849609375
2023-10-11,3452.2314453125,19811.349609375
2023-10-12,3506.066650390625,19794.0
2023-10-13,3523.13427734375,19751.05078125
2023-10-16,3520.111083984375,19731.75
2023-10-17,3530.7900390625,19811.5
2023-10-18,3543.078369140625,19671.099609375
2023-10-19,3526.449951171875,19624.69921875
2023-10-20,3496.947998046875,19542.650390625
2023-10-23,3446.4775390625,19281.75
2023-10-25,3496.7041015625,19122.150390625
2023-10-26,3472.760986328125,18857.25
2023-10-27,3584.283447265625,19047.25
2023-10-30,3600.4736328125,19140.900390625
2023-10-31,3629.829345703125,19079.599609375
2023-11-01,3630.609130859375,18989.150390625
2023-11-02,3698.488525390625,19133.25
2023-11-03,3714.77587890625,19230.599609375
